,amount0,amount1,amountUSD,id,sqrtPriceX96,tick,timestamp,transaction.blockNumber,transaction.gasPrice,transaction.gasUsed,transaction.timestamp
0,1685.106407,-0.758982925002697166,1682.577055177528500971562767982368,0xd6e4a636fde9e1e95ced4d0fcb7a10c6d9d0e3bba5a8f8f74a36d1644859bc12#146727,1683968274387083196451198826429933,199296,1627375226,12907143,17000000000,215110,1627375226
1,182282.111604,-82.119145633815561912,181988.8512060684911118916644373728,0x22de3712dc3b291259acc72ccc27767ee6eaaf516a9a72d45094f05af61fe4f2#146724,1683971665928123683914867073910701,199296,1627374010,12907044,1,1200000,1627374010
2,170784.144738,-76.971792400270306088,170510.5511393608701637807083772762,0xfb9641a355ba02c3a41ee34fb5b7532f5b7af7e1313e42364593219b93d0108f#146723,1684339372528251680417922950418094,199301,1627374003,12907043,20321384573,300000,1627374003
3,266777.484182,-120.298696551175646408,266334.8095356966372065654235031273,0xb8dc0e467f59c4d6a0d321e6c5ed9f971a221bebb2c36a4019fec5d924a29c4a#146722,1684684030718139210655881053238285,199305,1627373992,12907042,21054772407,300000,1627373992
4,186639.467974,-84.207589705707381026,186338.6963592056778746325562822818,0xaf8307f821ad65e91678c1058e7885fee66dad62a2f2813f092114aba23664f8#146721,1685222694684590014921396324201719,199311,1627373981,12907041,1,1200000,1627373981
5,197100,-88.968067974566844593,196781.1404847389876720494899552557,0xf743867dd682786511df1e6db5a80a8bbb25a38d35e48f655e254cf8bf815783#146720,1685599752754016744419593693559114,199315,1627373818,12907030,40000000000,2517632,1627373818
6,370748.254132,-167.464272553759034549,370110.0524679114448513977243921807,0xb559aa799640799d5cc80296eb49366280aee9a7d57dba2008ce046c73202329#146719,1685998067600455725966113711763266,199320,1627373789,12907029,29598272926,300000,1627373789
7,422310.750037,-190.936060461141545994,421570.7390491227527568445977445967,0xed1926681ac3b4cf9111bf91cbbc27e21b9cc1e82bc8df2bf91d23fd7300ea46#146718,1686747166680849947831156518305822,199329,1627373754,12907028,1,1200000,1627373754
8,248361.560489,-112.380096160446313019,247952.1495306652305210087466094403,0x0e0c7d3617a6074d26fadf624de14db5b1eaea8f92ba57fc7ea24349b3fa0fc2#146717,1687601259468071899749623949718245,199339,1627373722,12907026,24934489936,300000,1627373722
9,261672.25967,-118.475451409481726478,261238.8126969014019251289838883305,0xeddc193b2bab92a0901a3f5149d63609c77baec865a9c96bbffa3808f9a3fae4#146716,1688103956702560408566198881947240,199345,1627373721,12907025,1,1200000,1627373721
10,207682.1276,-94.083693221961678924,207344.8084299355950922577830212311,0xf8158868e5f9260b70d6cde721eaa2136668326e13bf523337a064eafc389783#146715,1688633919603582432736113068546710,199351,1627373651,12907018,1,1200000,1627373651
11,61809.353673,-28.009791426057349804,61714.3541578418327644099641366081,0xc395117d16e9a4bbde4f20a7901b0871c16307317a7e76627e56cb67bee4f415#146713,1689054773598275771723083664691198,199356,1627373604,12907011,1,1200000,1627373604
12,162504.299229,-73.660973071903929593,162244.7437022534734411489966029775,0xf7a26f70512234b08166e957fa3bf5eeb13298c3241ecd3c05d3a5fe9ac03bd6#146712,1689180068903613602454301666033383,199358,1627373483,12907000,1,1200000,1627373483
13,1374.738926,-0.623272911039413861,1372.675686592213150966607384482045,0x45310656eedce566aab047f63a7365b2db3b3f925cda40e5beffbda2cdc7bc61#146711,1689509574181683609640833153021325,199362,1627373448,12906998,19000000000,737101,1627373448
14,17370.710351,-7.875631241209120517,17344.47372455824813416786315573196,0x542b67a22c4f00d80fe8ca8bc8c853826203c10911d321ddefb34862e5dd1470#146709,1689512362248488878042011604458178,199362,1627373333,12906990,22000000000,382663,1627373333
